Fréquence (Hz)	Niveau (dB)
3199,218750	-72,499763
3210,937500	-72,444206
3222,656250	-72,797997
3234,375000	-73,242630
3246,093750	-72,611450
3257,812500	-72,580513
3269,531250	-72,302071
3281,250000	-72,115585
3292,968750	-72,672035
3304,687500	-73,199066
3316,406250	-73,233376
3328,125000	-73,008896
3339,843750	-72,727707
3351,562500	-73,180260
3363,281250	-73,405769
3375,000000	-73,265457
3386,718750	-73,876999
3398,437500	-73,616524
3410,156250	-73,379639
3421,875000	-74,055130
3433,593750	-73,944115
3445,312500	-74,015282
3457,031250	-73,920494
3468,750000	-74,432991
3480,468750	-74,746475
3492,187500	-73,946953
3503,906250	-73,410942
3515,625000	-72,945534
3527,343750	-73,063751
3539,062500	-73,232445
3550,781250	-73,138680
3562,500000	-72,970970
3574,218750	-72,535522
3585,937500	-72,620468
3597,656250	-73,313499
3609,375000	-73,550529
3621,093750	-72,898582
3632,812500	-73,050629
3644,531250	-74,026291
3656,250000	-74,095642
3667,968750	-73,942619
3679,687500	-74,034409
3691,406250	-74,242676
3703,125000	-74,312340
3714,843750	-74,240051
3726,562500	-74,501961
3738,281250	-74,617691
3750,000000	-74,768730
3761,718750	-74,516968
3773,437500	-74,895348
3785,156250	-75,143211
3796,875000	-75,029785
3808,593750	-75,329849
3820,312500	-75,697594
3832,031250	-75,647995
3843,750000	-75,346481
3855,468750	-75,169075
3867,187500	-74,922470
3878,906250	-74,608917
3890,625000	-74,894310
3902,343750	-75,155067
3914,062500	-75,277542
3925,781250	-75,044434
3937,500000	-75,094627
3949,218750	-75,594032
3960,937500	-74,983612
3972,656250	-74,495674
3984,375000	-75,534637
3996,093750	-75,832954
4007,812500	-75,825294
4019,531250	-76,539169
4031,250000	-76,284332
4042,968750	-76,077995
4054,687500	-76,862000
4066,406250	-76,324043
4078,125000	-76,242691
4089,843750	-76,138847
4101,562500	-75,786560
4113,281250	-76,125336
4125,000000	-76,567429
4136,718750	-76,618416
4148,437500	-76,873932
4160,156250	-76,587852
4171,875000	-76,299782
4183,593750	-76,610718
4195,312500	-76,807220
4207,031250	-76,736099
4218,750000	-76,682632
4230,468750	-76,836105
4242,187500	-77,605186
4253,906250	-78,306870
4265,625000	-77,149307
4277,343750	-76,815956
4289,062500	-78,036728
4300,781250	-78,455284
4312,500000	-77,728142
4324,218750	-77,298897
4335,937500	-77,167953
4347,656250	-77,571487
4359,375000	-78,141029
