Fréquence (Hz)	Niveau (dB)
21,533203	-43,623707
43,066406	-43,716728
64,599609	-44,716587
86,132812	-45,879177
107,666016	-46,334511
129,199219	-45,442585
150,732422	-45,135941
172,265625	-43,396553
193,798828	-42,828690
215,332031	-41,348682
236,865234	-39,499527
258,398438	-42,564911
279,931641	-43,596725
301,464844	-42,170204
322,998047	-43,174736
344,531250	-43,270554
366,064453	-43,105392
387,597656	-43,677063
409,130859	-42,027863
430,664062	-41,344185
452,197266	-42,671001
473,730469	-42,550678
495,263672	-43,064335
516,796875	-43,977325
538,330078	-44,737274
559,863281	-45,406410
581,396484	-45,604969
602,929688	-42,633358
624,462891	-41,309921
645,996094	-40,959301
667,529297	-37,227333
689,062500	-37,932617
710,595703	-42,594570
732,128906	-44,028374
753,662109	-44,718723
775,195312	-44,642544
796,728516	-43,393135
818,261719	-42,810200
839,794922	-40,974430
861,328125	-41,767616
882,861328	-43,552494
904,394531	-43,555771
925,927734	-44,202759
947,460938	-43,824432
968,994141	-43,523811
990,527344	-44,193981
1012,060547	-44,471550
1033,593750	-44,758488
1055,126953	-43,969139
1076,660156	-42,735664
1098,193359	-40,911926
1119,726562	-41,800701
1141,259766	-44,293495
1162,792969	-44,422619
1184,326172	-43,756546
1205,859375	-43,436726
1227,392578	-44,060612
1248,925781	-42,991226
1270,458984	-40,940536
1291,992188	-41,365822
1313,525391	-43,369148
1335,058594	-44,654655
1356,591797	-44,739571
1378,125000	-44,455250
1399,658203	-44,360756
1421,191406	-43,423958
1442,724609	-44,074799
1464,257812	-43,017548
1485,791016	-43,144581
1507,324219	-44,988323
1528,857422	-44,834389
1550,390625	-43,846130
1571,923828	-44,299759
1593,457031	-44,509506
1614,990234	-44,123169
1636,523438	-44,481422
1658,056641	-44,600479
1679,589844	-45,171566
1701,123047	-45,599964
1722,656250	-45,408970
1744,189453	-44,513733
1765,722656	-44,723064
1787,255859	-44,251225
1808,789062	-44,933102
1830,322266	-45,823746
1851,855469	-46,378799
1873,388672	-45,597031
1894,921875	-45,533321
1916,455078	-44,873985
1937,988281	-43,834877
1959,521484	-43,736637
1981,054688	-44,426197
2002,587891	-42,635384
2024,121094	-41,413937
2045,654297	-42,307026
2067,187500	-42,610565
2088,720703	-43,042160
2110,253906	-43,020142
2131,787109	-43,856140
2153,320312	-44,214306
2174,853516	-45,008533
2196,386719	-46,217541
2217,919922	-45,927010
2239,453125	-45,644817
2260,986328	-45,328655
2282,519531	-44,963661
2304,052734	-45,138870
2325,585938	-45,051903
2347,119141	-45,756462
2368,652344	-46,403046
2390,185547	-47,098305
2411,718750	-46,647026
2433,251953	-47,242802
2454,785156	-46,391716
2476,318359	-45,545670
2497,851562	-43,262383
2519,384766	-36,686359
2540,917969	-38,006443
2562,451172	-45,802158
2583,984375	-45,735466
2605,517578	-45,755524
2627,050781	-46,392918
2648,583984	-46,761574
2670,117188	-46,456871
2691,650391	-46,389149
2713,183594	-46,599545
2734,716797	-47,605022
2756,250000	-47,500584
2777,783203	-46,812176
2799,316406	-46,534256
2820,849609	-45,626663
2842,382812	-45,321362
2863,916016	-44,672363
2885,449219	-44,787971
2906,982422	-45,653221
2928,515625	-46,544983
2950,048828	-45,542213
2971,582031	-45,236046
2993,115234	-45,633194
3014,648438	-46,045921
3036,181641	-47,002831
3057,714844	-46,963844
3079,248047	-48,754108
3100,781250	-49,003902
3122,314453	-49,222271
3143,847656	-50,428017
3165,380859	-49,226433
3186,914062	-49,444698
3208,447266	-49,542713
3229,980469	-49,608887
3251,513672	-49,757717
3273,046875	-50,431278
3294,580078	-52,002251
3316,113281	-51,635536
3337,646484	-49,532169
3359,179688	-42,112183
3380,712891	-40,098793
3402,246094	-46,468105
3423,779297	-49,236629
3445,312500	-50,109158
3466,845703	-50,637398
3488,378906	-51,997326
3509,912109	-52,510437
3531,445312	-52,424728
3552,978516	-51,569183
3574,511719	-50,795097
3596,044922	-52,243713
3617,578125	-52,367069
3639,111328	-52,556942
3660,644531	-51,975491
3682,177734	-51,713886
3703,710938	-54,118832
3725,244141	-52,613266
3746,777344	-53,096169
3768,310547	-52,744766
3789,843750	-53,664146
3811,376953	-54,458775
3832,910156	-55,304832
3854,443359	-54,617470
3875,976562	-53,184456
3897,509766	-52,298882
3919,042969	-52,600643
3940,576172	-52,488377
3962,109375	-52,802280
3983,642578	-53,909443
4005,175781	-54,327370
4026,708984	-52,548985
4048,242188	-49,642807
4069,775391	-51,835522
4091,308594	-53,908245
4112,841797	-54,824348
4134,375000	-54,939713
4155,908203	-54,304001
4177,441406	-52,627155
4198,974609	-48,935089
4220,507812	-47,602596
4242,041016	-52,680172
4263,574219	-55,064373
4285,107422	-55,730316
4306,640625	-55,513580
4328,173828	-54,206421
4349,707031	-52,170437
4371,240234	-52,759422
4392,773438	-54,392654
4414,306641	-55,095245
4435,839844	-54,968838
4457,373047	-54,029118
4478,906250	-53,195244
4500,439453	-54,136135
4521,972656	-55,018139
4543,505859	-55,100685
4565,039062	-55,224438
4586,572266	-55,909668
4608,105469	-56,713898
4629,638672	-57,225391
4651,171875	-57,615002
4672,705078	-57,515717
4694,238281	-58,160694
4715,771484	-57,670975
4737,304688	-57,592384
4758,837891	-58,333035
4780,371094	-57,692417
4801,904297	-57,493465
4823,437500	-57,449677
4844,970703	-58,402481
4866,503906	-59,819443
4888,037109	-59,718098
4909,570312	-58,661514
4931,103516	-58,554173
4952,636719	-58,124096
4974,169922	-58,687733
4995,703125	-59,913509
5017,236328	-60,455303
5038,769531	-60,554070
5060,302734	-60,503716
5081,835938	-60,107372
5103,369141	-60,404297
5124,902344	-60,515217
5146,435547	-59,072533
5167,968750	-58,128090
5189,501953	-58,568836
5211,035156	-58,947628
5232,568359	-59,887856
5254,101562	-61,476852
5275,634766	-61,539703
5297,167969	-59,764423
5318,701172	-58,922485
5340,234375	-59,363976
5361,767578	-61,134163
5383,300781	-62,960567
5404,833984	-63,665180
5426,367188	-65,313309
5447,900391	-66,840057
5469,433594	-68,274590
5490,966797	-70,329575
5512,500000	-72,040771
5534,033203	-71,365158
5555,566406	-69,634903
5577,099609	-68,724350
5598,632812	-68,544197
5620,166016	-66,918816
5641,699219	-66,977348
5663,232422	-66,493584
5684,765625	-65,014496
5706,298828	-64,522911
5727,832031	-65,621780
5749,365234	-67,825142
5770,898438	-69,260551
5792,431641	-69,532478
5813,964844	-68,715622
5835,498047	-67,703651
5857,031250	-68,289154
5878,564453	-69,822411
5900,097656	-71,539642
5921,630859	-72,267220
5943,164062	-73,152473
5964,697266	-74,266304
5986,230469	-75,083061
6007,763672	-75,351204
6029,296875	-76,579948
6050,830078	-75,920433
6072,363281	-76,081383
6093,896484	-76,172112
6115,429688	-76,745064
6136,962891	-78,670891
6158,496094	-80,156830
6180,029297	-81,114410
6201,562500	-82,677887
6223,095703	-83,433540
6244,628906	-84,670265
6266,162109	-86,196747
6287,695312	-87,812119
6309,228516	-88,117851
6330,761719	-87,967712
6352,294922	-89,095345
6373,828125	-90,285667
6395,361328	-91,471397
6416,894531	-93,173134
6438,427734	-93,403183
6459,960938	-94,294167
6481,494141	-95,067665
6503,027344	-95,604759
6524,560547	-95,618645
6546,093750	-96,212013
6567,626953	-96,864777
6589,160156	-97,291939
6610,693359	-98,211761
6632,226562	-97,459984
6653,759766	-96,590187
6675,292969	-97,767357
6696,826172	-98,769379
6718,359375	-98,966866
6739,892578	-98,692177
6761,425781	-97,951744
6782,958984	-97,947968
6804,492188	-97,541222
6826,025391	-97,978645
6847,558594	-98,228722
6869,091797	-98,329140
6890,625000	-99,078781
6912,158203	-99,150513
