Fréquence (Hz)	Niveau (dB)
12515,625000	-62,894005
12562,500000	-63,842220
12609,375000	-64,092865
12656,250000	-64,257812
12703,125000	-64,990707
12750,000000	-65,443924
12796,875000	-65,116417
12843,750000	-64,604477
12890,625000	-64,762573
12937,500000	-64,936043
12984,375000	-64,535271
13031,250000	-64,252365
13078,125000	-64,203300
13125,000000	-64,623291
13171,875000	-64,129257
13218,750000	-63,428200
13265,625000	-62,776245
13312,500000	-62,655212
13359,375000	-63,867924
13406,250000	-64,545990
13453,125000	-64,102730
13500,000000	-64,270828
13546,875000	-64,687004
13593,750000	-64,379829
13640,625000	-63,751423
13687,500000	-64,197037
13734,375000	-64,378014
13781,250000	-64,512260
13828,125000	-65,273804
13875,000000	-65,059647
13921,875000	-64,919914
13968,750000	-65,108673
14015,625000	-64,038200
14062,500000	-63,956882
14109,375000	-63,584179
14156,250000	-63,026669
14203,125000	-62,574818
14250,000000	-62,172581
14296,875000	-62,708347
14343,750000	-63,663910
14390,625000	-64,330681
14437,500000	-62,850208
14484,375000	-62,502247
14531,250000	-62,594337
14578,125000	-62,206898
14625,000000	-62,448677
14671,875000	-62,366943
14718,750000	-62,596458
14765,625000	-63,217339
14812,500000	-64,125725
14859,375000	-64,236839
14906,250000	-65,288368
14953,125000	-66,210609
15000,000000	-65,098465
15046,875000	-63,689354
15093,750000	-62,697346
15140,625000	-63,021362
15187,500000	-65,279251
15234,375000	-65,880386
15281,250000	-65,219170
15328,125000	-64,363937
15375,000000	-63,720860
15421,875000	-63,728004
15468,750000	-63,343681
15515,625000	-65,290489
15562,500000	-63,584209
15609,375000	-56,430832
15656,250000	-57,318592
15703,125000	-61,245193
15750,000000	-62,970673
15796,875000	-63,184361
15843,750000	-63,059834
15890,625000	-62,790379
15937,500000	-62,609985
15984,375000	-62,949535
16031,250000	-63,631874
16078,125000	-64,181770
16125,000000	-63,780125
16171,875000	-64,238541
16218,750000	-64,797890
16265,625000	-65,425240
16312,500000	-66,290741
16359,375000	-67,064857
16406,250000	-66,633972
16453,125000	-66,027023
16500,000000	-65,852760
16546,875000	-65,763618
16593,750000	-65,701904
16640,625000	-65,949326
16687,500000	-66,877235
16734,375000	-67,055626
16781,250000	-66,452103
16828,125000	-66,567291
16875,000000	-66,417000
16921,875000	-66,653992
16968,750000	-66,489571
17015,625000	-65,819077
17062,500000	-64,257286
17109,375000	-63,597061
17156,250000	-63,458847
17203,125000	-64,128983
17250,000000	-64,420296
17296,875000	-64,146683
17343,750000	-64,828987
17390,625000	-65,906792
17437,500000	-66,266518
17484,375000	-66,034714
17531,250000	-65,609779
17578,125000	-65,515289
17625,000000	-65,475372
17671,875000	-65,747978
17718,750000	-68,115128
17765,625000	-70,397873
17812,500000	-71,801414
17859,375000	-71,245071
17906,250000	-70,639206
17953,125000	-68,588669
18000,000000	-63,915249
18046,875000	-67,130943
18093,750000	-70,602135
18140,625000	-70,533585
18187,500000	-69,636864
18234,375000	-68,258347
18281,250000	-67,891190
18328,125000	-68,149406
18375,000000	-69,492462
18421,875000	-70,606705
18468,750000	-70,421455
18515,625000	-69,712791
18562,500000	-68,899422
18609,375000	-68,799751
18656,250000	-70,309296
18703,125000	-71,620575
18750,000000	-73,396271
18796,875000	-72,500748
18843,750000	-69,687836
18890,625000	-67,175980
18937,500000	-69,778938
18984,375000	-74,395576
19031,250000	-74,850296
19078,125000	-73,970825
19125,000000	-72,205086
19171,875000	-64,709106
19218,750000	-63,451370
19265,625000	-71,585655
19312,500000	-73,351997
19359,375000	-72,847084
19406,250000	-72,901337
19453,125000	-72,851654
19500,000000	-65,445244
19546,875000	-66,560272
19593,750000	-74,152542
19640,625000	-74,760277
19687,500000	-75,386787
19734,375000	-75,050957
19781,250000	-74,763512
19828,125000	-74,276405
19875,000000	-74,040619
19921,875000	-73,621765
19968,750000	-73,459877
20015,625000	-73,525528
20062,500000	-72,489059
20109,375000	-71,584808
20156,250000	-71,063438
20203,125000	-71,313957
20250,000000	-71,201553
20296,875000	-70,743614
20343,750000	-71,754471
20390,625000	-72,926735
20437,500000	-73,787209
20484,375000	-72,568008
20531,250000	-72,005989
20578,125000	-71,819611
20625,000000	-72,702698
20671,875000	-74,466888
20718,750000	-73,351463
20765,625000	-69,754059
20812,500000	-69,461220
20859,375000	-71,178383
20906,250000	-69,764999
20953,125000	-68,216721
21000,000000	-68,822678
21046,875000	-67,515411
21093,750000	-68,878807
21140,625000	-71,409416
21187,500000	-73,834740
21234,375000	-72,943375
21281,250000	-72,932793
21328,125000	-74,153824
21375,000000	-72,419243
21421,875000	-70,501045
21468,750000	-73,397247
21515,625000	-75,181160
21562,500000	-75,051659
21609,375000	-74,642754
21656,250000	-74,205780
21703,125000	-74,357208
21750,000000	-73,795753
21796,875000	-74,067879
21843,750000	-73,486313
21890,625000	-72,207779
21937,500000	-73,563797
21984,375000	-75,731750
22031,250000	-76,110657
22078,125000	-76,302574
22125,000000	-77,042145
22171,875000	-77,804893
22218,750000	-77,875938
22265,625000	-78,284348
22312,500000	-77,249008
22359,375000	-73,596649
22406,250000	-72,585518
22453,125000	-78,204361
22500,000000	-79,986076
22546,875000	-77,143417
22593,750000	-76,768654
22640,625000	-72,933197
22687,500000	-67,199623
22734,375000	-66,104324
22781,250000	-74,620880
22828,125000	-74,111832
22875,000000	-69,137894
22921,875000	-72,373436
22968,750000	-76,966675
23015,625000	-67,256683
23062,500000	-66,618790
23109,375000	-70,861992
23156,250000	-72,421173
23203,125000	-75,313843
23250,000000	-78,239304
23296,875000	-76,867821
23343,750000	-70,057220
23390,625000	-69,378067
23437,500000	-77,430687
23484,375000	-80,721107
23531,250000	-79,971817
23578,125000	-77,219742
23625,000000	-75,407387
23671,875000	-79,412697
23718,750000	-82,117668
23765,625000	-83,079475
23812,500000	-81,110817
23859,375000	-78,799034
23906,250000	-79,154991
23953,125000	-77,251350
