Fréquence (Hz)	Niveau (dB)
11498,730469	-97,208405
11541,796875	-96,947784
11584,863281	-96,594971
11627,929688	-96,139381
11670,996094	-95,991501
11714,062500	-95,429214
11757,128906	-96,254257
11800,195312	-97,223007
11843,261719	-97,421753
11886,328125	-97,454750
11929,394531	-97,480240
11972,460938	-97,510017
12015,527344	-97,475105
12058,593750	-97,093651
12101,660156	-96,063782
12144,726562	-95,118340
12187,792969	-94,798485
12230,859375	-94,867645
12273,925781	-95,973419
12316,992188	-97,005867
12360,058594	-97,599937
12403,125000	-97,757439
12446,191406	-97,774445
12489,257812	-97,801125
12532,324219	-97,821205
12575,390625	-97,806564
12618,457031	-96,716301
12661,523438	-95,152191
12704,589844	-95,859932
12747,656250	-97,543068
12790,722656	-97,959366
12833,789062	-97,993538
12876,855469	-98,016617
12919,921875	-98,035660
12962,988281	-98,059326
13006,054688	-98,087807
13049,121094	-98,085732
13092,187500	-98,123993
13135,253906	-98,149071
13178,320312	-98,172234
13221,386719	-98,189232
13264,453125	-98,217361
13307,519531	-98,231529
13350,585938	-98,256508
13393,652344	-98,279373
13436,718750	-98,299011
13479,785156	-98,319305
13522,851562	-98,338219
13565,917969	-98,358536
13608,984375	-98,378708
13652,050781	-98,405182
13695,117188	-98,416214
13738,183594	-98,442513
13781,250000	-98,456177
13824,316406	-98,479614
13867,382812	-98,500107
13910,449219	-98,516434
13953,515625	-98,538963
13996,582031	-98,554955
14039,648438	-98,574631
14082,714844	-98,591072
14125,781250	-98,611473
14168,847656	-98,631844
14211,914062	-98,650185
14254,980469	-98,665520
14298,046875	-98,684395
14341,113281	-98,704895
14384,179688	-98,716316
14427,246094	-98,744781
14470,312500	-98,746468
14513,378906	-98,774910
14556,445312	-98,791412
14599,511719	-98,809647
14642,578125	-98,824280
14685,644531	-98,839531
14728,710938	-98,858803
14771,777344	-98,874657
14814,843750	-98,890640
14857,910156	-98,911011
14900,976562	-98,917580
14944,042969	-98,946274
14987,109375	-98,951744
15030,175781	-98,973442
15073,242188	-98,987770
15116,308594	-99,001251
15159,375000	-99,021507
15202,441406	-99,032608
15245,507812	-99,048248
15288,574219	-99,070992
15331,640625	-99,080132
15374,707031	-99,087837
15417,773438	-99,114693
15460,839844	-99,123154
15503,906250	-99,142212
15546,972656	-99,151352
15590,039062	-99,166229
15633,105469	-99,185043
15676,171875	-99,195389
15719,238281	-99,210304
15762,304688	-99,225853
15805,371094	-99,238800
15848,437500	-99,252350
15891,503906	-99,263573
15934,570312	-99,278824
15977,636719	-99,293617
16020,703125	-99,304337
16063,769531	-99,320633
16106,835938	-99,328773
16149,902344	-99,342529
16192,968750	-99,361046
16236,035156	-99,367241
16279,101562	-99,390907
16322,167969	-99,386230
16365,234375	-99,409363
16408,300781	-99,420128
16451,367188	-99,434120
16494,433594	-99,440186
16537,500000	-99,460342
16580,566406	-99,463928
16623,632812	-99,482658
16666,699219	-99,488327
16709,765625	-99,505760
16752,832031	-99,512207
16795,898438	-99,525803
16838,964844	-99,538506
16882,031250	-99,547768
16925,097656	-99,557983
16968,164062	-99,570534
17011,230469	-99,579842
17054,296875	-99,593124
17097,363281	-99,600365
17140,429688	-99,613831
17183,496094	-99,621063
17226,562500	-99,634239
17269,628906	-99,640800
17312,695312	-99,657822
17355,761719	-99,659279
17398,828125	-99,673698
17441,894531	-99,683144
17484,960938	-99,692856
17528,027344	-99,703262
17571,093750	-99,711990
17614,160156	-99,721565
17657,226562	-99,727951
17700,292969	-99,744232
17743,359375	-99,749146
17786,425781	-99,757500
17829,492188	-99,767639
17872,558594	-99,774132
17915,625000	-99,782906
17958,691406	-99,793251
18001,757812	-99,801056
18044,824219	-99,811943
18087,890625	-99,813881
