Fréquence (Hz)	Niveau (dB)
12515,625000	-76,702255
12562,500000	-76,814194
12609,375000	-77,110626
12656,250000	-76,983360
12703,125000	-77,152428
12750,000000	-77,352814
12796,875000	-77,843285
12843,750000	-77,851257
12890,625000	-78,130852
12937,500000	-78,150742
12984,375000	-78,231422
13031,250000	-78,502403
13078,125000	-78,689049
13125,000000	-78,811012
13171,875000	-78,877151
13218,750000	-79,037369
13265,625000	-78,874252
13312,500000	-78,943466
13359,375000	-79,141838
13406,250000	-79,023369
13453,125000	-78,993523
13500,000000	-79,218445
13546,875000	-79,227516
13593,750000	-79,277382
13640,625000	-79,511650
13687,500000	-79,608902
13734,375000	-79,793564
13781,250000	-79,833260
13828,125000	-79,811363
13875,000000	-79,604416
13921,875000	-79,566406
13968,750000	-79,646500
14015,625000	-80,020615
14062,500000	-79,957733
14109,375000	-80,142586
14156,250000	-80,163597
14203,125000	-80,195679
14250,000000	-80,272926
14296,875000	-80,395737
14343,750000	-80,513763
14390,625000	-80,543724
14437,500000	-80,486633
14484,375000	-80,517281
14531,250000	-80,765625
14578,125000	-80,841446
14625,000000	-81,216537
14671,875000	-81,371109
14718,750000	-81,205360
14765,625000	-81,452965
14812,500000	-81,405815
14859,375000	-81,488991
14906,250000	-81,666931
14953,125000	-81,540726
15000,000000	-81,797890
15046,875000	-81,879417
15093,750000	-81,924011
15140,625000	-81,921249
15187,500000	-82,035164
15234,375000	-82,207748
15281,250000	-82,249992
15328,125000	-82,430374
15375,000000	-82,410934
15421,875000	-82,618607
15468,750000	-82,850502
15515,625000	-82,616287
15562,500000	-82,725815
15609,375000	-82,857506
15656,250000	-83,070251
15703,125000	-83,061806
15750,000000	-83,097420
15796,875000	-83,234627
15843,750000	-83,446777
15890,625000	-83,661125
15937,500000	-83,742638
15984,375000	-83,728088
16031,250000	-83,759628
16078,125000	-84,091919
16125,000000	-84,190887
16171,875000	-84,199867
16218,750000	-84,284058
16265,625000	-84,550545
16312,500000	-84,681999
16359,375000	-84,789787
16406,250000	-84,818062
16453,125000	-84,977478
16500,000000	-85,114487
16546,875000	-85,238754
16593,750000	-85,391556
16640,625000	-85,418167
16687,500000	-85,598045
16734,375000	-85,819839
16781,250000	-85,947212
16828,125000	-85,923485
16875,000000	-86,021393
16921,875000	-86,286293
16968,750000	-86,398186
17015,625000	-86,522575
17062,500000	-86,529739
17109,375000	-86,397408
17156,250000	-86,592339
17203,125000	-86,827820
17250,000000	-87,000938
17296,875000	-87,001007
17343,750000	-86,870399
17390,625000	-87,183037
17437,500000	-87,439743
17484,375000	-87,406677
17531,250000	-87,333206
17578,125000	-87,244888
17625,000000	-87,624496
17671,875000	-87,728012
17718,750000	-87,806190
17765,625000	-87,729851
17812,500000	-87,924271
17859,375000	-88,018196
17906,250000	-88,035225
17953,125000	-88,067879
18000,000000	-88,147888
18046,875000	-88,234016
18093,750000	-88,338249
18140,625000	-88,366135
18187,500000	-88,488144
18234,375000	-88,477882
18281,250000	-88,666267
18328,125000	-88,523560
18375,000000	-88,545502
18421,875000	-88,619301
18468,750000	-88,631905
18515,625000	-88,717812
18562,500000	-88,849930
18609,375000	-88,731926
18656,250000	-88,669739
18703,125000	-88,829025
18750,000000	-88,974358
18796,875000	-88,841270
18843,750000	-88,634918
18890,625000	-88,979713
18937,500000	-88,995552
18984,375000	-89,164360
19031,250000	-88,959785
19078,125000	-88,858429
19125,000000	-89,167313
19171,875000	-89,168747
19218,750000	-89,294952
19265,625000	-88,933792
19312,500000	-89,232635
19359,375000	-89,352074
19406,250000	-89,358002
19453,125000	-89,335182
19500,000000	-89,208771
19546,875000	-89,436028
19593,750000	-89,487106
19640,625000	-89,573936
19687,500000	-89,589142
19734,375000	-89,590446
19781,250000	-89,643990
19828,125000	-89,625443
19875,000000	-89,692261
19921,875000	-89,669533
19968,750000	-89,809715
20015,625000	-89,731575
20062,500000	-89,825546
